Follower,Location,Languages
trevrosen,R'lyeh,"Go, Vim Script, Vue, FLUX, Ruby, C, JavaScript, Gherkin, CoffeeScript, HTML, Dockerfile, C++, CSS, HCL, Shell, Smarty, Python, Batchfile, Makefile, ApacheConf"
mcroydon,"Austin, Texas","Clojure, Java, EJS, HTML, Scala, Emacs Lisp, Go, Perl, Ruby, Shell, C++, CSS, JavaScript, Python, Objective-C, Erlang"
gaubert,"Frankfurt, Germany","Java, Perl, Vim Script, Ruby, Arduino, C, JavaScript, PHP, HTML, C++, CSS, Web Ontology Language, Shell, XSLT, Smarty, Python, Groovy, Batchfile, NSIS, Makefile"
elurin,Turkey,
taf2,Severna Park MD,"Gherkin, Java, CoffeeScript, Go, HTML, Perl, Ruby, Protocol Buffer, Shell, Makefile, CSS, C++, C, JavaScript, Python, Roff"
lgs,Milan - Italy,"Go, SCSS, Vue, Perl, Svelte, Ruby, TypeScript, C, JavaScript, CoffeeScript, HTML, Dockerfile, C++, CSS, Handlebars, HCL, Solidity, Shell, Jinja, MDX, Python, Yacc, Batchfile, Makefile"
fserb,"Montreal, Canada","Java, Go, Pawn, SCSS, Swift, Haskell, Ruby, TypeScript, Liquid, Sass, C, JavaScript, HTML, Dockerfile, Haxe, Assembly, C++, CSS, CMake, Mako, PLpgSQL, Jupyter Notebook, Shell, Objective-C++, MDX, Python, Objective-C, Lua, Nunjucks, Pug, Batchfile, Makefile, C#"
borud,False,"Java, Go, HTML, Emacs Lisp, Shell, Makefile, CSS, C++, C, JavaScript, Arduino, Python, CMake"
levifig,"Porto, Portugal","CoffeeScript, PHP, HTML, Perl, Ruby, Batchfile, Shell, Makefile, C++, CSS, JavaScript, Python"
brad,Nomadic (USA),"Java, Perl, Ruby, TypeScript, Gnuplot, C, JavaScript, Parrot, Prolog, CoffeeScript, Nu, HTML, PHP, Dockerfile, CSS, CMake, Roff, PLpgSQL, Shell, Python, Batchfile, Makefile"
john,False,"HTML, SCSS, Dockerfile, Puppet, Ruby, Mermaid, Shell, Sass, Makefile, CSS, JavaScript, Haml, Python, Bikeshed"
acangiano,Canada,"Java, Emacs Lisp, Perl, Ruby, Scheme, C, JavaScript, HTML, Awk, Assembly, C++, CSS, Erlang, Euphoria, Shell, Earthly, Python, Ragel in Ruby Host, Elixir"
cw,"Evansville, WI","CoffeeScript, Java, Gherkin, Rust, HTML, Vim Script, Jupyter Notebook, Ruby, TypeScript, Shell, Makefile, C++, CSS, JavaScript, Python, C, Handlebars"
toke,"Karlsruhe, Germany","Java, Go, Perl, Vue, TypeScript, C, JavaScript, PHP, HTML, Awk, Dockerfile, Assembly, C++, CSS, CMake, Processing, Shell, XSLT, Python, Objective-C, Elixir, Makefile"
eugene,"Copenhagen, Denmark","CoffeeScript, TeX, HTML, Perl, Julia, Jupyter Notebook, Ruby, Batchfile, Shell, Makefile, C++, CSS, JavaScript, Python"
benhodgson,"London, UK","Java, HTML, Shell, CSS, JavaScript, Python"
ruediger,False,"Racket, Emacs Lisp, Go, Perl, Haskell, Ruby, Protocol Buffer, C, JavaScript, Common Lisp, Rust, Nix, R, PHP, HTML, Awk, Dockerfile, Assembly, Logos, C++, CSS, CMake, Bison, TeX, CUE, Shell, Python, Objective-C, Lua, Julia, Makefile, ApacheConf, GDB"
wrl,"Rotterdam, NL","Vim Script, SCSS, Svelte, Ruby, C, JavaScript, Rust, HTML, M4, Cython, C++, CSS, CMake, Roff, HCL, Shell, XSLT, Python, Objective-C, Lua, GLSL, Makefile"
brupm,"Miami, Florida","CoffeeScript, Go, HTML, Perl, Ruby, Shell, CSS, JavaScript, Python, C"
dusty,"Phoenix, AZ","HCL, Java, Go, HTML, PHP, Dockerfile, Ruby, TypeScript, Shell, C#, C++, CSS, JavaScript, Smarty, Objective-C"
amiroff,Istanbul,"Clojure, PHP, HTML, MDX, Dockerfile, Elixir, Batchfile, Shell, Makefile, CSS, JavaScript, Python"
